BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
00:02:6F:8E:64:67;32.10291;35.20881;;Open;-109;Infra;1;-91;2017/10/23;12:36:03
00:0F:02:72:94:54;NaN;NaN;Internet Access;Wep;-5088;Infra;7;-89;2017/10/23;13:37:19
00:11:6B:11:7D:C7;32.10514;35.20693;yosh;Open;-90;Infra;13;-85;2017/10/23;16:33:30
00:12:2A:39:2C:3C;32.10343;35.20867;netbox-550b;WpaPsk;-82;Infra;1;-81;2017/10/23;14:34:20
00:12:2A:E1:59:68;32.10346;35.20829;M9BLAT;WpaPsk;-89;Infra;7;-88;2017/10/23;14:34:51
00:18:25:01:72:40;NaN;NaN;Coolnet-Hotspot;Open;-5090;Infra;4;-91;2017/10/23;15:13:07
00:1A:2F:7F:6B:70;32.10477;35.20712;;WPA2;-79;Infra;13;-77;2017/10/23;14:39:18
00:1A:DD:E2:DC:24;NaN;NaN;afikim-wifi;Open;-5086;Infra;1;-87;2017/10/23;15:34:10
00:1A:DD:E2:DC:A4;NaN;NaN;afikim-wifi;Open;-5083;Infra;1;-84;2017/10/23;15:42:50
00:1A:DD:E2:DD:84;NaN;NaN;afikim-wifi;Open;-5084;Infra;1;-85;2017/10/23;17:02:14
00:1A:DD:E3:06:04;NaN;NaN;afikim-wifi;Open;-5089;Infra;1;-90;2017/10/23;16:11:33
00:1A:DD:E3:08:84;32.10352;35.20770;PEPWAVE_5071;WpaPsk;-73;Infra;2;-72;2017/10/23;14:35:55
00:1A:DD:E3:19:64;32.10288;35.20869;afikim-wifi;Open;-107;Infra;1;-90;2017/10/23;12:36:07
00:1A:DD:E3:1C:24;NaN;NaN;afikim-wifi;Open;-5086;Infra;1;-87;2017/10/23;15:41:41
00:1A:DD:E3:20:04;NaN;NaN;afikim-wifi;Open;-5080;Infra;1;-81;2017/10/23;17:20:01
00:1A:DD:E3:5E:64;32.10518;35.20700;Wirless-Afikim;Open;-90;Infra;8;-81;2017/10/23;14:41:50
00:1A:DD:E3:5E:65;NaN;NaN;;Open;-5087;Infra;8;-88;2017/10/23;15:05:14
00:1A:DD:F1:30:85;NaN;NaN;Afikim_Wifi;Open;-5089;Infra;12;-90;2017/10/23;16:11:31
00:1A:DD:F4:DB:C4;32.10514;35.20691;;Open;-101;Infra;6;-79;2017/10/23;17:00:32
00:1A:DD:F4:DB:C5;32.10514;35.20691;Afikim_Wifi;Open;-102;Infra;6;-80;2017/10/23;17:00:32
00:1A:DD:F4:E1:44;32.10515;35.20705;;Open;-81;Infra;13;-80;2017/10/23;16:33:44
00:1A:DD:F4:E1:45;32.10515;35.20705;Afikim_Wifi;Open;-81;Infra;13;-80;2017/10/23;16:33:44
00:1A:DD:F4:E4:64;NaN;NaN;;Open;-5087;Infra;8;-88;2017/10/23;16:31:44
